results: Entity,Day,Count,Momentum,Positive,Negative
33312449,2009-01-01,123,0.404788,0.0686018,0.0751483
33312449,2009-01-02,138,0.385358,0.0570414,0.0409437
33312449,2009-01-03,53,0.447932,0.209697,0.0442951
33312449,2009-01-04,71,0.379885,0.0491506,0.0314728
33312449,2009-01-05,128,0.367599,0.054545,0.0119212
33312449,2009-01-06,205,0.319643,0.105544,0.0200188
33312449,2009-01-07,228,0.358113,0.0647048,0.032721
33312449,2009-01-08,421,0.483975,0.0679146,0.0176708
33312449,2009-01-09,154,0.352056,0.0516842,0.0325251
33312449,2009-01-10,79,0.486624,0.0408668,0.0411677
33312449,2009-01-11,42,0.300215,0.0340728,0.00897959
33312449,2009-01-12,172,0.324447,0.0322268,0.0120871
33312449,2009-01-13,256,0.340332,0.0504544,0.0366476
33312449,2009-01-14,278,0.396078,0.0515502,0.0273614
33312449,2009-01-15,172,0.300643,0.0474851,0.0907899
33312449,2009-01-16,193,0.290666,0.0466656,0.0237171
33312449,2009-01-17,226,0.527496,0.048955,0.036729
33312449,2009-01-18,111,0.501932,0.0572555,0.0345788
33312449,2009-01-19,79,0.266089,0.0629028,0.0
33312449,2009-01-20,157,0.284026,0.0423825,0.0265829
33312449,2009-01-21,220,0.316987,0.0585642,0.076007
33312449,2009-01-22,771,0.616425,0.126202,0.13624
33312449,2009-01-23,433,0.496234,0.0930136,0.117583
33312449,2009-01-24,141,0.429895,0.0624056,0.108163
33312449,2009-01-25,63,0.312465,0.0312552,0.0860639
33312449,2009-01-26,172,0.296837,0.0682952,0.0678738
33312449,2009-01-27,107,0.294921,0.0526001,0.0276857
33312449,2009-01-28,108,0.289351,0.109014,0.0151419
33312449,2009-01-29,89,0.242775,0.084027,0.0238163
33312449,2009-01-30,146,0.334671,0.0607555,0.0199728
33312449,2009-01-31,53,0.298988,0.0293543,0.0350553
33312449,2009-02-01,26,0.30544,0.027107,0.0280543
33312449,2009-02-02,88,0.27904,0.0848896,0.0166814
33312449,2009-02-03,184,0.350618,0.0670893,0.0123348
33312449,2009-02-04,255,0.400756,0.0522734,0.0163313
33312449,2009-02-05,441,0.523577,0.0484034,0.0153303
33312449,2009-02-06,191,0.410649,0.0483184,0.00536985
33312449,2009-02-07,75,0.398785,0.0540132,0.0
33312449,2009-02-08,41,0.301374,0.032268,0.0280857
33312449,2009-02-09,299,0.35654,0.0477252,0.00845228
33312449,2009-02-10,206,0.345841,0.0609693,0.00674064
33312449,2009-02-11,123,0.288617,0.110275,0.0567134
33312449,2009-02-12,178,0.333836,0.0408338,0.0264027
33312449,2009-02-13,350,0.414757,0.061367,0.0170093
33312449,2009-02-14,88,0.396561,0.0505832,0.0421673
33312449,2009-02-15,55,0.352675,0.0182464,0.01556
33312449,2009-02-16,411,0.488357,0.0581277,0.0178574
33312449,2009-02-17,141,0.405378,0.0801461,0.00651094
33312449,2009-02-18,96,0.306274,0.082211,0.0225085
33312449,2009-02-19,104,0.268547,0.0591308,0.023058
33312449,2009-02-20,118,0.446645,0.0799278,0.0236837
33312449,2009-02-21,15,0.301558,0.0435133,0.0133333
33312449,2009-02-22,91,0.386818,0.0762249,0.00795152
33312449,2009-02-23,124,0.28641,0.0870107,0.0122067
33312449,2009-02-24,483,0.486575,0.0588524,0.0504465
33312449,2009-02-25,275,0.429842,0.0286865,0.0226533
33312449,2009-02-26,364,0.420115,0.0541086,0.0179878
33312449,2009-02-27,207,0.332378,0.0559419,0.0759215
33312449,2009-02-28,70,0.31955,0.0472041,0.0319224
33312449,2009-03-01,50,0.271774,0.0465737,0.0714087
33312449,2009-03-02,97,0.250115,0.0722025,0.00862906
33312449,2009-03-03,179,0.331609,0.0607734,0.0244347
33312449,2009-03-04,139,0.367484,0.0369513,0.0319004
33312449,2009-03-05,100,0.312677,0.0304075,0.00730827
33312449,2009-03-06,91,0.357606,0.042424,0.0
33312449,2009-03-07,72,0.371036,0.0125661,0.00961538
33312449,2009-03-08,53,0.374137,0.09796,0.0299667
