"Russell.Ticker","Russell.Company","Bloomberg.Name","BB.Unique.ID","Bloomberg.Ticker","RF.UI.ID"
"A","AGILENT TECHNOLOGIES IN","AGILENT TECHNOLOGIES INC","EQ0087231700001000","A","CBqR0"
"AA","ALCOA INC","ALCOA INC","EQ0010004600001000","AA","B_ZKl"
"AAN","AARONS INC","AARON'S INC","EQ0010218800003000","AAN","C6imI"
"AAON","AAON INC","AAON INC","EQ0010179800001000","AAON","B_M9M"
"AAP","ADVANCE AUTO PARTS INC","ADVANCE AUTO PARTS INC","EQ0036823400001000","AAP","CGAIz"
"AAPL","APPLE INC","APPLE INC","EQ0010169500001000","AAPL","B_LyO"
"AAT","AMERICAN ASSETS TRST IN","AMERICAN ASSETS TRUST INC","EQ0000000011243999","AAT","fyjIN"
"AATI","ADVANCED ANALOGIC TECH",NA,NA,"","C47qn"
"AAWW","ATLAS AIR WORLDWIDE HLD","ATLAS AIR WORLDWIDE HOLDINGS","EQ0000000001229493","AAWW","CG_3u"
"ABAX","ABAXIS INC","ABAXIS INC","EQ0010180300001000","ABAX","CYytD"
"ABBC","ABINGTON BANCORP INC",NA,NA,"","EIHvh"
"ABC","AMERISOURCEBERGEN CORP","AMERISOURCEBERGEN CORP","EQ0015696900002000","ABC","I5OBxF"
"ABCB","AMERIS BANCORP","AMERIS BANCORP","EQ0014804900001000","ABCB","CcUfB"
"ABCD","CAMBIUM LEARNING GRP IN","CAMBIUM LEARNING GROUP INC","EQ0000000009428004","ABCD","CiH6e"
"ABCO","ADVISORY BOARD CO","ADVISORY BOARD CO/THE","EQ0090123500001000","ABCO","Hkro4"
"ABD","ACCO BRANDS CORP","ACCO BRANDS CORP","EQ0000000001910217","ACCO","CaVqQ"
"ABFS","ARKANSAS BEST CORP","ARKANSAS BEST CORP","EQ0010181300001000","ABFS","B_YiT"
"ABG","ASBURY AUTOMOTIVE GROUP","ASBURY AUTOMOTIVE GROUP","EQ0090377900001000","ABG","CKcH-"
"ABM","ABM INDUSTRIES INC","ABM INDUSTRIES INC","EQ0010005600001000","ABM","I2SfJL"
"ABMD","ABIOMED INC","ABIOMED INC","EQ0010182100001000","ABMD","CAkSF"
"ABT","ABBOTT LABORATORIES","ABBOTT LABORATORIES","EQ0010000200001000","ABT","B_E1t"
